country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB","03-06-2026 23:00:00",16.711754,81.092095,OZONE,15,48,28
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","03-06-2026 23:00:00",16.316553,80.413302,NO2,21,69,40
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","03-06-2026 23:00:00",16.316553,80.413302,NH3,4,13,8
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","03-06-2026 23:00:00",16.316553,80.413302,SO2,10,20,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","03-06-2026 23:00:00",14.465052,78.824187,NH3,3,5,4
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","03-06-2026 23:00:00",14.465052,78.824187,SO2,10,21,13
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","03-06-2026 23:00:00",16.186555,81.13219,PM2.5,51,188,80
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","03-06-2026 23:00:00",29.695300,77.002700,PM10,70,143,94
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","03-06-2026 23:00:00",29.695300,77.002700,NO2,6,7,6
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","03-06-2026 23:00:00",29.695300,77.002700,NH3,6,6,6
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","03-06-2026 23:00:00",29.695300,77.002700,SO2,1,13,4
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","03-06-2026 23:00:00",29.966942,76.875879,NO2,15,23,19
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","03-06-2026 23:00:00",29.966942,76.875879,NH3,5,5,5
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","03-06-2026 23:00:00",29.966942,76.875879,SO2,2,3,2
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","03-06-2026 23:00:00",29.966942,76.875879,CO,12,30,19
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","03-06-2026 23:00:00",27.9002,76.9938,PM10,35,355,79
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","03-06-2026 23:00:00",28.360699,76.936090,OZONE,10,49,18
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","03-06-2026 23:00:00",28.060249,76.113115,NH3,3,8,5
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","03-06-2026 23:00:00",28.1485564,77.3320667,PM2.5,49,52,50
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","03-06-2026 23:00:00",28.1485564,77.3320667,SO2,12,13,12
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","03-06-2026 23:00:00",28.1485564,77.3320667,CO,11,123,77
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","03-06-2026 23:00:00",28.3153,76.9143,PM2.5,23,182,95
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","03-06-2026 23:00:00",28.3153,76.9143,NO2,22,58,28
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","03-06-2026 23:00:00",28.3153,76.9143,CO,14,59,34
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","03-06-2026 23:00:00",29.432304,76.972765,PM2.5,149,173,162
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","03-06-2026 23:00:00",29.432304,76.972765,NO2,31,32,31
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","03-06-2026 23:00:00",28.52123,76.37138,PM10,70,133,92
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","03-06-2026 23:00:00",28.52123,76.37138,NO2,6,9,8
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","03-06-2026 23:00:00",28.52123,76.37138,SO2,11,13,12
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","03-06-2026 23:00:00",29.536400,75.015800,PM10,64,119,91
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","03-06-2026 23:00:00",30.1480566,77.2893471,NO2,11,20,15
